97	10090	mus_musculus_129s1svimj	129S1/SvImJ
97	10090	mus_musculus_aj	A/J
97	10090	mus_musculus_akrj	AKR/J
97	10090	mus_musculus_balbcj	BALB/cJ
97	10090	mus_musculus_c3hhej	C3H/HeJ
97	10090	mus_musculus	C57BL/6J
97	10090	mus_musculus_c57bl6nj	C57BL/6NJ
97	10089	mus_caroli	CAROLI/EiJ
97	10090	mus_musculus_casteij	CAST/EiJ
97	10090	mus_musculus_cbaj	CBA/J
97	10090	mus_musculus_dba2j	DBA/2J
97	10090	mus_musculus_fvbnj	FVB/NJ
97	10090	mus_musculus_lpj	LP/J
97	10090	mus_musculus_nodshiltj	NOD/ShiLtJ
97	10090	mus_musculus_nzohlltj	NZO/HlLtJ
97	10093	mus_pahari	PAHARI/EiJ
97	10090	mus_musculus_pwkphj	PWK/PhJ
97	10096	mus_spretus	SPRET/EiJ
97	10090	mus_musculus_wsbeij	WSB/EiJ
